date,crop_type,growth_stage,temp_max,temp_min,humidity,wind_speed,solar_radiation,rainfall,soil_type,soil_moisture,field_area_ha,irrigation_method,water_need_mm
2024-11-10,citrus,initial,22.5,8.8,75.7,2.0,14.3,3.6,clay,27.2,9.4,drip,0.0
2024-11-11,citrus,initial,19.8,6.9,72.3,1.6,9.8,7.2,clay,27.6,9.4,drip,0.0
2024-11-12,citrus,initial,19.5,10.7,75.7,1.8,18.0,0.0,clay,27.0,9.4,drip,1.29
2024-11-13,citrus,initial,22.3,9.0,68.6,0.5,12.9,0.0,clay,26.3,9.4,drip,0.85
2024-11-14,citrus,initial,17.9,7.7,50.9,2.0,15.3,0.0,clay,25.5,9.4,drip,1.02
2024-11-15,citrus,initial,23.4,9.6,58.6,2.3,7.5,3.7,clay,25.5,9.4,drip,0.0
2024-11-16,citrus,initial,23.1,8.0,80.9,1.3,11.6,0.0,clay,23.9,9.4,drip,0.31
2024-11-17,citrus,initial,25.1,13.0,63.6,2.7,12.0,0.0,clay,22.4,9.4,drip,0.27
2024-11-18,citrus,initial,19.6,8.4,71.4,1.6,13.8,0.0,clay,21.6,9.4,drip,0.23
2024-11-19,citrus,initial,21.1,6.7,95.0,3.2,6.0,5.6,clay,22.8,9.4,drip,0.0
2024-11-20,citrus,initial,12.0,2.2,71.8,2.2,8.9,0.0,clay,21.3,9.4,drip,0.11
2024-11-21,citrus,initial,24.0,8.3,49.4,2.8,11.5,0.0,clay,20.7,9.4,drip,0.3
2024-11-22,citrus,initial,21.1,11.2,79.8,2.7,4.8,11.2,clay,22.1,9.4,drip,0.0
2024-11-23,citrus,initial,15.3,2.3,70.6,3.0,4.8,8.9,clay,23.2,9.4,drip,0.0
2024-11-24,citrus,initial,21.3,11.9,57.1,1.4,15.5,4.2,clay,23.7,9.4,drip,0.0
2024-11-25,citrus,initial,15.6,1.0,83.2,11.0,11.5,0.0,clay,22.5,9.4,drip,0.15
2024-11-26,citrus,initial,20.7,5.6,82.9,4.2,8.3,22.9,clay,28.7,9.4,drip,0.0
2024-11-27,citrus,initial,15.3,1.8,58.1,4.3,8.2,0.0,clay,26.9,9.4,drip,0.92
2024-11-28,citrus,initial,20.1,7.6,95.0,2.4,4.2,36.1,clay,36.0,9.4,drip,0.0
2024-11-29,citrus,initial,23.1,10.4,56.4,2.7,7.0,0.0,clay,33.6,9.4,drip,2.28
2024-11-30,citrus,initial,17.9,9.8,77.9,2.6,12.4,0.0,clay,31.4,9.4,drip,1.62
2024-12-01,citrus,initial,13.9,-0.9,61.7,1.9,10.6,0.0,clay,30.7,9.4,drip,1.41
2024-12-02,citrus,initial,18.5,3.5,59.7,4.8,13.1,0.0,clay,29.6,9.4,drip,2.19
2024-12-03,citrus,initial,19.7,4.8,71.6,4.8,11.5,0.0,clay,27.5,9.4,drip,1.31
2024-12-04,citrus,initial,17.1,6.1,79.1,3.1,7.2,0.0,clay,25.9,9.4,drip,0.49
2024-12-05,citrus,initial,13.1,4.9,62.8,2.2,7.5,0.0,clay,25.2,9.4,drip,0.47
2024-12-06,citrus,initial,18.0,5.7,65.4,6.3,12.0,0.0,clay,24.1,9.4,drip,0.52
2024-12-07,citrus,initial,20.3,8.8,64.4,7.3,8.0,0.0,clay,22.2,9.4,drip,0.26
2024-12-08,citrus,initial,13.9,-1.8,81.4,3.6,14.3,0.0,clay,21.2,9.4,drip,0.17
2024-12-09,citrus,initial,15.4,7.3,89.3,8.0,2.1,6.8,clay,21.5,9.4,drip,0.0
2024-12-10,citrus,initial,17.1,4.0,67.9,5.6,9.2,0.9,clay,20.0,9.4,drip,0.0
2024-12-11,citrus,initial,16.2,0.7,53.8,5.9,15.5,0.0,clay,20.0,9.4,drip,0.26
2024-12-12,citrus,initial,18.1,9.5,66.7,4.8,7.6,0.0,clay,20.0,9.4,drip,0.22
2024-12-13,citrus,initial,15.1,2.0,76.7,4.0,6.5,0.0,clay,20.0,9.4,drip,0.11
2024-12-14,citrus,initial,17.0,6.0,74.4,1.7,12.4,0.0,clay,20.0,9.4,drip,0.18
2024-12-15,citrus,initial,19.4,10.6,73.5,4.9,10.9,0.0,clay,20.0,9.4,drip,0.21
2024-12-16,citrus,initial,17.9,2.3,72.2,8.1,12.0,4.8,clay,20.0,9.4,drip,0.0
2024-12-17,citrus,initial,18.8,4.5,73.5,1.4,4.0,0.0,clay,20.0,9.4,drip,0.08
2024-12-18,citrus,initial,18.6,9.8,87.3,3.2,7.1,0.0,clay,20.0,9.4,drip,0.11
2024-12-19,citrus,initial,15.3,-0.3,66.7,2.4,4.0,0.0,clay,20.0,9.4,drip,0.11
2024-12-20,citrus,initial,15.7,4.0,73.9,3.4,6.0,0.0,clay,20.0,9.4,drip,0.11
2024-12-21,citrus,initial,14.0,-0.9,76.3,2.7,9.9,0.0,clay,20.0,9.4,drip,0.13
2024-12-22,citrus,initial,15.2,2.2,95.0,4.7,6.0,36.0,clay,29.1,9.4,drip,0.0
2024-12-23,citrus,initial,14.6,2.9,95.0,0.6,5.7,20.2,clay,32.8,9.4,drip,0.0
2024-12-24,citrus,initial,18.6,7.3,95.0,5.5,3.6,10.8,clay,33.9,9.4,drip,0.0
2024-12-25,citrus,initial,20.0,8.7,73.4,2.6,8.3,0.0,clay,31.5,9.4,drip,1.49
